Dilution	Obtained
1,000	804,00
1,000	968,00
1,000	1129,00
1,000	1186,00
1,000	1182,00
1,000	1067,00
1,000	1167,00
1,000	1124,00
1,000	1099,00
1,000	862,00
0,500	313,00
0,500	629,00
0,500	739,00
0,500	426,00
0,500	476,00
0,500	312,00
0,500	427,00
0,500	435,00
0,500	491,00
0,500	679,00
0,250	331,00
0,250	217,00
0,250	314,00
0,250	203,00
0,250	253,00
0,250	169,00
0,250	240,00
0,250	228,00
0,250	217,00
0,250	276,00
0,125	145,00
0,125	95,00
0,125	166,00
0,125	127,00
0,125	171,00
0,125	120,00
0,125	90,00
0,125	112,00
0,125	111,00
0,125	153,00
0,063	148,00
0,063	95,00
0,063	22,00
0,063	54,00
0,063	132,00
0,063	25,00
0,063	139,00
0,063	167,00
0,063	132,00
0,063	35,00
0,031	48,00
0,031	67,00
0,031	82,00
0,031	28,00
0,031	56,00
0,031	91,00
0,031	
0,031	51,00
0,031	29,00
0,031	61,00
0,016	
0,016	66,00
0,016	
0,016	35,00
0,016	27,00
0,016	25,00
0,016	
0,016	42,00
0,016	
0,016	44,00
0,008	
0,008	
0,008	
0,008	21,00
0,008	
0,008	
0,008	26,00
0,008	
0,008	
0,008	
0,004	
0,004	
0,004	
0,004	
0,004	
0,004	
0,004	30,00
0,004	
0,004	
0,004	
