dilution	obtained
1	804
1	968
1	1129
1	1186
1	1182
1	1067
1	1167
1	1124
1	1099
1	862
0.5	313
0.5	629
0.5	739
0.5	426
0.5	476
0.5	312
0.5	427
0.5	435
0.5	491
0.5	679
0.25	331
0.25	217
0.25	314
0.25	203
0.25	253
0.25	169
0.25	240
0.25	228
0.25	217
0.25	276
0.125	145
0.125	95
0.125	166
0.125	127
0.125	171
0.125	120
0.125	90
0.125	112
0.125	111
0.125	153
0.063	148
0.063	95
0.063	22
0.063	54
0.063	132
0.063	25
0.063	139
0.063	167
0.063	132
0.063	35
0.031	48
0.031	67
0.031	82
0.031	28
0.031	56
0.031	91
0.031	NA
0.031	51
0.031	29
0.031	61
0.016	NA
0.016	66
0.016	NA
0.016	35
0.016	27
0.016	25
0.016	NA
0.016	42
0.016	NA
0.016	44
0.008	NA
0.008	NA
0.008	NA
0.008	21
0.008	NA
0.008	NA
0.008	26
0.008	NA
0.008	NA
0.008	NA
0.004	NA
0.004	NA
0.004	NA
0.004	NA
0.004	NA
0.004	NA
0.004	30
0.004	NA
0.004	NA
0.004	NA
